,author,content,description,publishedAt,source.id,source.name,title,url,urlToImage,contributors
10,Mathieu Grumiaux,"1. Participez aux discussionsNous encourageons chacun à exprimer ses idées sur les sujets qui l'intéressent, et à faire profiter l'ensemble de la communauté de son expertise sur un sujet particulier.
2. Partagez vos connaissancesQue vous soyez expert ou amat… [+1629 chars]","Apple ne serait pas aussi à cheval sur la confidentialité qu’elle le prétend. Des employés auraient en effet accès aux fichiers audio enregistrés par l’assistant, y compris des conversations privées.",2019-07-29T11:41:00Z,,Clubic.com,Certains sous-traitants d’Apple peuvent écouter vos conversations grâce à Siri - Clubic.com,https://www.clubic.com/siri/actualite-865496-traitants-apple-ecouter-conversations-siri.html,https://pic.clubic.com/v1/images/1735783/raw,4
11,Le Figaro avec AFP,"Ce mariage, qui se fera en échange d'actions, devrait permettre à la société naissante d'enregistrer un chiffre d'affaires proche des 20 milliards de dollars dès 2020.Pfizer a annoncé lundi son intention de fusionner son activité de médicaments non brevetés a… [+2288 chars]","Ce mariage, qui se fera en échange d'actions, devrait permettre à la société naissante d'enregistrer un chiffre d'affaires proche des 20 milliards de dollars dès 2020.",2019-07-29T11:04:36Z,,Lefigaro.fr,Mylan fusionne avec la division génériques de Pfizer pour créer un géant du médicament à moindre coût - Le Figaro,http://www.lefigaro.fr/flash-eco/mylan-fusionne-avec-la-division-generiques-de-pfizer-20190729,https://i.f1g.fr/media/cms/orig/2019/07/29/0bee8dd352c291f4f0e6442f4a43c190d53f9c79e8e1f784146066601d344322.jpeg,2
12,Le Progrès,"Une distribution de billets « pour dix gars » après un meeting à Lyon. Dans le journal Le Monde ce lundi, un ancien du service d’ordre témoigne de versements en liquide par les équipes du candidat durant la campagne présidentielle. Le meeting en question étai… [+1237 chars]","Le journal Le Monde publie des témoignages de membres du service d’ordre affirmant avoir été payés en liquide par Alexandre Benalla, notamment après ...",2019-07-29T11:04:00Z,,Leprogres.fr,Rhône | Emmanuel Macron à Lyon: le service d'ordre payé en liquide par Alexandre Benalla? - Le Progrès,https://www.leprogres.fr/rhone-69-edition-lyon-metropole/2019/07/29/macron-a-lyon-le-service-d-ordre-paye-en-liquide,https://cdn-s-www.leprogres.fr/images/0A95FE84-2342-4D52-A623-5AE198E759D2/FB1200/photo-1564398272.jpg,1
13,,"En juin dernier, Google avait déclaré lancer le RCS en France et au Royaume-Uni. Après un déploiement réservé à quelques utilisateurs, le nouveau protocole est enfin déployé totalement en France. 
Le RCS (Rich Communications Services) est la technologie qui … [+1372 chars]","En juin dernier, Google avait déclaré lancer le RCS en France et au Royaume-Uni. Après un déploiement réservé à quelques utilisateurs, le nouveau protocole (...)",2019-07-29T10:23:38Z,,Universfreebox.com,Le remplacant du SMS sur Android est désormais accessible pour tous en France - Univers Freebox,https://www.universfreebox.com/article/51152/Le-remplacant-du-SMS-est-desormais-accessible-pour-tous-sur-Android,https://www.universfreebox.com/UserFiles/image/RCS-(1)(1).jpg,3
14,Sud Ouest,"""Une jeune femme séjournant dans l’arrondissement de Mont-de-Marsan, a été contaminée par la dengue lors d’un voyage en Asie. Une enquête a alors été réalisée par l’entreprise Altopictus pour le compte du Département des Landes, sur les lieux fréquentés par l… [+2333 chars]",Une opération d'envergure sera menée sur six secteurs des deux grosses communes de l'agglomération montoise dans la nuit de mardi à mercredi.,2019-07-29T10:15:13Z,,Sudouest.fr,Landes: une démoustication prévue à Mont-de-Marsan et Saint-Pierre-du-Mont - Sud Ouest,https://www.sudouest.fr/2019/07/29/landes-une-demoustication-prevue-a-mont-de-marsan-et-saint-pierre-du-mont-6392405-3452.php,https://images.sudouest.fr/2019/07/29/5d3ec79166a4bd10639b31d0/golden/une-demoustication-fin-septembre-2017-dans-les-rues-d-hossegor.jpg,5
15,,"Une dépression assez inhabituelle pour la saison selon Météo France va toucher les côtes du Finistère, du Morbihan, de la Manche, du Cotentin et une partie du littoral nord des Pays de la Loire.Les Bretons (et les touristes) vont pouvoir sortir parapluies et … [+1592 chars]",,2019-07-29T10:04:34Z,,Francetvinfo.fr,Un gros coup de vent attendu ce lundi en Bretagne - franceinfo,https://www.francetvinfo.fr/meteo/inondations/un-gros-coup-de-vent-attendu-ce-lundi-en-bretagne_3556387.html,https://www.francetvinfo.fr/image/75nhqt4he-5f92/1500/843/19786095.jpg,1
16,"Louise Ballongue, journaliste santé","© Istock
Daprès une étude publiée le 15 juillet dans la revue Neuropharmacology, le resvératrol, un polyphénol présent dans certains fruits dont le raisin, présente des effets anti-stressbénéfiques pour lutter contre la dépression ou encore lanxiété.
Vin ro… [+3086 chars]","Certains composants retrouvés dans le vin rouge pourraient soigner l’anxiété et la dépression. Le “resvératrol”, une molécule qui impacte les neurones, serait la clé de ce nouveau traitement.",2019-07-29T09:58:00Z,,Medisite.fr,Vin rouge : un remède miracle pour soigner la dépression ? - Medisite,https://www.medisite.fr/alcool-vin-rouge-un-remede-miracle-pour-soigner-la-depression.5524815.721180.html,https://m.mcdn.fr/files/images/article/5/1/8/5524815/vignette-focus.jpg,3
17,Marion Mancho,"Cette année, le Jour du dépassement de la Terre a été fixé au lundi 29 juillet. A cette date, lhumanité a consommé lensemble des ressources que la planète peut renouveler en une année et vit désormais à crédit.  
Pour les experts en charge de la conservation… [+2622 chars]","Cette année, le Jour du dépassement de la Terre a été fixé au lundi 29 juillet. A cette date, l’humanité a consommé l’ensemble des ressources que la planète peut renouveler en une …",2019-07-29T09:54:01Z,,Ohmymag.com,Jour du dépassement : l'humanité vit déjà à crédit - Ohmymag,https://www.ohmymag.com/danger/jour-du-depassement-le-29-juillet-est-la-nouvelle-date-ou-l-humanite-vivra-a-credit_art95088.html,https://img.ohmymag.com/alternative/1280/news/aujourd-hui-est-le-jour-ou-l-humanite-vit-a-credit-le-jour-du-depassement_13ad035b857b155523656543cab8dd48ff9834ad.jpg,2
18,Le Progrès,"Un astéroïde baptisé ""2019 OK"" a frôlé la Terre dans la nuit du 24 au 25 juillet dernier, entre 3h15 et 3h30 du matin donnant quelques sueurs froides aux astronomes qui ne l'avaient pas repéré.
L'astéroïde, qui est passé à seulement 73 000 kilomètres de la T… [+1483 chars]",Il est passé à seulement 73 000 kilomètres de la Terre dans la nuit du 24 au 25 juillet 2019 entre 3h15 et 3h30.,2019-07-29T09:32:00Z,,Leprogres.fr,ESPACE. Un astéroïde a frôlé la Terre surprenant les scientifiques - Le Progrès,https://www.leprogres.fr/france-monde/2019/07/29/un-asteroide-a-frole-la-terre-surprenant-les-scientifiques,https://cdn-s-www.leprogres.fr/images/4ECE2BB9-90C9-4A73-9571-E261DC3723F3/FB1200/photo-1564390579.jpg,4
19,,"... les spectacles du moment !
Nos dossiers incontournables !
Jouez et gagnez des lots !","En couple avec Christina Milian depuis plusieurs ann�es maintenant, M Pokora a annonc� une bonne nouvelle � ses fans sur Instagram : il va bient�t devenir papa ! Les stars comme les anonymes ont tenu � les f�liciter sur les r�seaux sociaux.",2019-07-29T08:58:00Z,,Chartsinfrance.net,M Pokora bientôt papa : Christina Milian est enceinte ! - Charts in France,http://www.chartsinfrance.net/M-Pokora/news-110881.html,http://www.chartsinfrance.net/style/breves/1/photo_1564390375.jpg,3
